query_id,product_id,accurate_label,reformulated_query
6014,B01G1RYHAO,True,null
6014,B07FP5DNBG,True,null
6014,B07F7RH8D4,True,null
6014,B01B8R6PF2,True,null
6014,B00LHSAARW,False,aa batteries 60 pack
6014,B00KMDL8U6,True,null
6014,B004SCA15K,True,null
6014,B01B8R6V2E,False,aaa batteries 100 pack
32814,B07TWK2S22,False,"dewalt 12v max cordless screwdriver kit, gyroscopic, 1/4-inch"
32814,B0812ZHY5N,False,"enertwist 8v max cordless screwdriver kit with 82 piece accessory set, dual position handle, led light"
32814,B07S7F53YK,True,null
32814,B00EUHAGX0,False,dewalt 8v max battery charger
32814,B00DL7QDS2,True,null
32814,B011WRUODC,True,null
58953,B085G3MGFR,True,null
58953,B085F42SV6,False,kodak photo paper 8.5 x 11 matte
58953,B01M0L2WLF,True,null
58953,B01JB7D4SW,False,kodak photo paper 8.5 x 11 glossy
58953,B000EZTYHG,True,null
58953,B000EZTYG2,True,null
58953,B000EZTYCG,True,null
58953,B000EZ0CTK,False,kodak photo paper 8.5 x 11 matte
58953,B000EYAKKW,True,null
58953,B000EYAKJS,True,null
